talk,speaker,speaker_title,speaker_occ,speaker_bio
7 ways games reward the brain,Tom Chatfield,,Gaming theorist,"Tom Chatfield thinks about games -- what we want from them, what we get from them, and how we might use our hard-wired desire for a gamer's reward to change the way we learn."
Glorious visions in animation and performance,Miwa Matreyek,,Multimedia artist,"Miwa Matreyek creates performances where real shapes and virtual images trade places, amid layers of animation, video and live bodies."
Natural pest control ... using bugs!,Shimon Steinberg,,Entomologist,Shimon Steinberg's biotech lab researches ways to harness the natural benefits of insects on a massive scale.
Sustainable seafood? Let's get smart,Barton Seaver,,Chef,Barton Seaver is an advocate of sustainable seafood and a chef in Washington DC. His work tells the story of our common resources through the communion we all share – dinner.
Global power shifts,Joseph Nye,,Diplomat,"The former assistant secretary of defense and former dean of Harvard's Kennedy School of Government, Joseph Nye offers sharp insights into the way nations take and cede power."
Breakthrough designs for ultra-low-cost products,R.A. Mashelkar,,"Scientist, innovator","Using a principle he calls “convex lens leadership,” R.A. Mashelkar’s vision has catapulted india’s talent for science and innovation onto the international stage."
"""(Nothing But) Flowers"" with string quartet",Thomas Dolby,,Electronic music pioneer,"Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City."""
The power of cartoons,Patrick Chappatte,,Editorial cartoonist,"With simple lines and pointed jokes that skewer injustice, Patrick Chappatte's editorial cartoons view the tragic, the farcical and the absurd through a lens of unfettered humor."
Tough truths about plastic pollution,Dianna Cohen,,Artist and activist,"Dianna Cohen co-founded the Plastic Pollution Coalition, which is working to help end our cycle of plastics use."
The brain in your gut,Heribert Watzke,,Food scientist,Heribert Watzke studies the brain in our gut -- and works to develop new kinds of food that will satisfy our bodies and minds.
"Poverty, money -- and love",Jessica Jackley,,Microlender,"Jessica Jackley is the co-founder of Kiva.org, an online community that helps individuals loan small amounts of money, called microloans, to entrepreneurs throughout the world."
My web playroom,Ze Frank,,Web humorist,"Ze Frank has been involved in online comedy, web toys and virtually shared experiences for the past 20 years as an influencer, performer, executive and mischief maker."
The art of the eco-mindshift,Natalie Jeremijenko,,Artist and engineer,"Natalie Jeremijenko blends art, engineering, environmentalism, biochemistry and more to create real-life experiments that enable social change. "
When bad engineering makes a natural disaster even worse,Peter Haas,,Building activist,"Inveterate tinkerer Peter Haas is the co-founder of AIDG, the Appropriate Infrastructure Development Group, which connect people to electricity, sanitation and clean water through a combination of business incubation, education, and outreach."
What nonprofits can learn from Coca-Cola,Melinda Gates,,Philanthropist,"Melinda French Gates is cochair of the Bill & Melinda Gates Foundation, where she puts into practice the idea that every life has equal value."
The roots of plant intelligence,Stefano Mancuso,,Plant neurobiologist,"Stefano Mancuso is a founder of the study of plant neurobiology, which explores signaling and communication at all levels of biological organization, from genetics to molecules, cells and ecological communities."
The best gift I ever survived,Stacey Kramer,,Brand strategist,Stacey Kramer has traveled the United States and the world helping to create names and brands for growing companies.
,,,,
Tagging tuna in the deep ocean,Barbara Block,,Marine biologist,"Barbara Block studies how tuna, billfish and sharks move around (and stay warm) in the open ocean. Knowing how these large predators travel through pelagic waters will help us understand their role in the wider ocean ecosystem."
An economic reality check,Tim Jackson,,Economist,"Tim Jackson is a British ecological economist and professor for sustainable development at the University of Surrey. He is the author of ""Prosperity without Growth"" and director of the Centre for the Understanding of Sustainable Prosperity."
Are mushrooms the new plastic?,Eben Bayer,,Green designer,"Eben Bayer is co-inventor of MycoBond, an organic (really -- it's based on mycelium, a living, growing organism) adhesive that turns agriwaste into a foam-like material for packaging and insulation."
How Mr. Condom made Thailand a better place for life and love,Mechai Viravaidya,,Public health expert,"Since 1974, Mechai Viravaidya has been creating and running innovative family planning and poverty reduction programs throughout Southeast Asia. "
Bringing peace to the minds of Afghanistan,Inge Missmahl,,Analytical psychologist,"By building psychosocial care into the primary health care system in Afghanistan, Inge Missmahl offers hope to a society traumatized by decades of conflict and insecurity."
I am my connectome,Sebastian Seung,,Computational neuroscientist,"Sebastian Seung is a leader in the new field of connectomics, currently the hottest space in neuroscience, which studies, in once-impossible detail, the wiring of the brain."
The quantified self,Gary Wolf,,Journalist,"Journalist Gary Wolf spends his days in pursuit of the most fascinating things. As a contributing editor at Wired, he's written about technology, mushroom hunters, venture capitalists ..."
Shh! Sound health in 8 steps,Julian Treasure,,Sound consultant,Julian Treasure studies sound and advises businesses on how best to use it.
The shape-shifting future of the mobile phone,Fabian Hemmert,,Designer,"Fabian Hemmert is a design professor, driven by the belief that we shouldn't sacrifice our humanness for the sake of technology."
Why I am an HIV/AIDS activist,Annie Lennox,,"Activist, singer-songwriter","The most successful female British pop musician in history, Annie Lennox has now committed herself to raising awareness of, and supporting actions against, the HIV/AIDS crisis in Africa."
Mothers helping mothers fight HIV,Mitchell Besser,,HIV/AIDS fighter,"How can mothers with HIV avoid passing it to their kids? In South Africa, Mitchell Besser tapped a new resource for healthcare: moms themselves. The program he started, mothers2mothers, trains new mothers to educate and support other moms."
Where good ideas come from,Steven Johnson,,Writer,"Steven Berlin Johnson examines the intersection of science, technology and personal experience."
How pig parts make the world turn,Christien Meindertsma,,Artist,Christien Meindertsma uses art (and craft) to expose the hidden processes and connections of our modern life.
Hurdy-gurdy for beginners,Caroline Phillips,,Musician,"Caroline Phillips' rich, soprano voice conjures up the far-and-wide cultures of the world, especially the sound and language of the Basque Country."
How social networks predict epidemics,Nicholas Christakis,,"Physician, social scientist","Nicholas Christakis explores how the large-scale, face-to-face social networks in which we are embedded affect our lives, and what we can do to take advantage of this fact."
Our natural sleep cycle is nothing like what we do now,Jessa Gamble,,Writer,"Jessa Gamble writes about sleep and time, showing how our internal body clock struggles against our always-on global culture."
How web video powers global innovation,Chris Anderson,,Head of TED,"After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading."
Discovering ancient climates in oceans and ice,Rob Dunbar,,"Oceanographer, biogeochemist","Rob Dunbar looks deeply at ancient corals and sediments to study how the climate and the oceans have shifted over the past 50 to 12,000 years -- and how the Antarctic ecosystem is changing right now."
Why the live arts matter,Ben Cameron,,Arts administrator,"Ben Cameron runs the arts granting program at the Doris Duke Foundation, focusing on live theater, dance and jazz."
An independent diplomat,Carne Ross,,Diplomat,"Carne Ross is the founder of Independent Diplomat, a nonprofit that offers freelance diplomatic representation to small, developing and yet-unrecognized nations in the complex world of international negotiations."
